# Chunk-averaged data for fix wall_2d and group wall
# Timestep Number-of-chunks Total-count
# Chunk OrigID Ncount v_x v_z
0 780 7800
  269 269 10 16.256 27.4161
  270 270 10 18.288 27.4161
  271 271 10 20.3201 27.4161
  272 272 10 22.3521 27.4161
  273 273 10 24.3841 27.4161
  274 274 10 26.4161 27.4161
  275 275 10 28.4481 27.4161
  276 276 10 30.4801 27.4161
  277 277 10 32.5121 27.4161
  278 278 10 34.5441 27.4161
  279 279 10 36.5761 27.4161
  280 280 10 38.6081 27.4161
  281 281 10 0 29.4481
  282 282 10 2.032 29.4481
  283 283 10 4.06401 29.4481
  284 284 10 6.09602 29.4481
  285 285 10 8.12802 29.4481
  286 286 10 10.16 29.4481
  287 287 10 12.192 29.4481
  288 288 10 14.224 29.4481
  289 289 10 16.256 29.4481
  290 290 10 18.288 29.4481
  291 291 10 20.3201 29.4481
  292 292 10 22.3521 29.4481
  293 293 10 24.3841 29.4481
  294 294 10 26.4161 29.4481
  295 295 10 28.4481 29.4481
  296 296 10 30.4801 29.4481
  297 297 10 32.5121 29.4481
  298 298 10 34.5441 29.4481
  299 299 10 36.5761 29.4481
  300 300 10 38.6081 29.4481
  301 301 10 0 31.4801
  302 302 10 2.032 31.4801
  303 303 10 4.06401 31.4801
  304 304 10 6.09602 31.4801
  305 305 10 8.12802 31.4801
  306 306 10 10.16 31.4801
  307 307 10 12.192 31.4801
  308 308 10 14.224 31.4801
  309 309 10 16.256 31.4801
  310 310 10 18.288 31.4801
  311 311 10 20.3201 31.4801
  312 312 10 22.3521 31.4801
  313 313 10 24.3841 31.4801
  314 314 10 26.4161 31.4801
  315 315 10 28.4481 31.4801
  316 316 10 30.4801 31.4801
  317 317 10 32.5121 31.4801
  318 318 10 34.5441 31.4801
  319 319 10 36.5761 31.4801
  320 320 10 38.6081 31.4801
  321 321 10 0 33.5121
  322 322 10 2.032 33.5121
  323 323 10 4.06401 33.5121
  324 324 10 6.09602 33.5121
  325 325 10 8.12802 33.5121
  326 326 10 10.16 33.5121
  327 327 10 12.192 33.5121
  328 328 10 14.224 33.5121
  329 329 10 16.256 33.5121
  330 330 10 18.288 33.5121
  331 331 10 20.3201 33.5121
  332 332 10 22.3521 33.5121
  333 333 10 24.3841 33.5121
  334 334 10 26.4161 33.5121
  335 335 10 28.4481 33.5121
  336 336 10 30.4801 33.5121
  337 337 10 32.5121 33.5121
  338 338 10 34.5441 33.5121
  339 339 10 36.5761 33.5121
  340 340 10 38.6081 33.5121
  341 346 10 10.16 35.5441
  342 347 10 12.192 35.5441
  343 348 10 14.224 35.5441
  344 349 10 16.256 35.5441
  345 350 10 18.288 35.5441
  346 356 10 30.4801 35.5441
  347 357 10 32.5121 35.5441
  348 358 10 34.5441 35.5441
  349 359 10 36.5761 35.5441
  350 360 10 38.6081 35.5441
  351 366 10 10.16 37.5761
  352 367 10 12.192 37.5761
  353 368 10 14.224 37.5761
  354 369 10 16.256 37.5761
  355 370 10 18.288 37.5761
  356 376 10 30.4801 37.5761
  357 377 10 32.5121 37.5761
  358 378 10 34.5441 37.5761
  359 379 10 36.5761 37.5761
  360 380 10 38.6081 37.5761
  361 386 10 10.16 39.6081
  362 387 10 12.192 39.6081
  363 388 10 14.224 39.6081
  364 389 10 16.256 39.6081
  365 390 10 18.288 39.6081
  366 396 10 30.4801 39.6081
  367 397 10 32.5121 39.6081
  368 398 10 34.5441 39.6081
  369 399 10 36.5761 39.6081
  370 400 10 38.6081 39.6081
  371 406 10 10.16 41.6401
  372 407 10 12.192 41.6401
  373 408 10 14.224 41.6401
  374 409 10 16.256 41.6401
  375 410 10 18.288 41.6401
  376 416 10 30.4801 41.6401
  377 417 10 32.5121 41.6401
  378 418 10 34.5441 41.6401
  379 419 10 36.5761 41.6401
  380 420 10 38.6081 41.6401
  381 426 10 10.16 43.6721
  382 427 10 12.192 43.6721
  383 428 10 14.224 43.6721
  384 429 10 16.256 43.6721
  385 430 10 18.288 43.6721
  386 436 10 30.4801 43.6721
  387 437 10 32.5121 43.6721
  388 438 10 34.5441 43.6721
  389 439 10 36.5761 43.6721
  390 440 10 38.6081 43.6721
  391 442 10 2.032 136.4
  392 443 10 4.06401 136.4
  393 444 10 6.09602 136.4
  394 445 10 8.12802 136.4
  395 446 10 10.16 136.4
  396 452 10 22.3521 136.4
  397 453 10 24.3841 136.4
  398 454 10 26.4161 136.4
  399 455 10 28.4481 136.4
  400 456 10 30.4801 136.4
  401 462 10 2.032 138.432
  402 463 10 4.06401 138.432
  403 464 10 6.09602 138.432
  404 465 10 8.12802 138.432
  405 466 10 10.16 138.432
  406 472 10 22.3521 138.432
  407 473 10 24.3841 138.432
  408 474 10 26.4161 138.432
  409 475 10 28.4481 138.432
  410 476 10 30.4801 138.432
  411 482 10 2.032 140.464
  412 483 10 4.06401 140.464
  413 484 10 6.09602 140.464
  414 485 10 8.12802 140.464
  415 486 10 10.16 140.464
  416 492 10 22.3521 140.464
  417 493 10 24.3841 140.464
  418 494 10 26.4161 140.464
  419 495 10 28.4481 140.464
  420 496 10 30.4801 140.464
  421 502 10 2.032 142.496
  422 503 10 4.06401 142.496
  423 504 10 6.09602 142.496
  424 505 10 8.12802 142.496
  425 506 10 10.16 142.496
  426 512 10 22.3521 142.496
  427 513 10 24.3841 142.496
  428 514 10 26.4161 142.496
  429 515 10 28.4481 142.496
  430 516 10 30.4801 142.496
  431 522 10 2.032 144.528
  432 523 10 4.06401 144.528
  433 524 10 6.09602 144.528
  434 525 10 8.12802 144.528
  435 526 10 10.16 144.528
  436 532 10 22.3521 144.528
  437 533 10 24.3841 144.528
  438 534 10 26.4161 144.528
  439 535 10 28.4481 144.528
  440 536 10 30.4801 144.528
  441 541 10 0 146.56
  442 542 10 2.032 146.56
  443 543 10 4.06401 146.56
  444 544 10 6.09602 146.56
  445 545 10 8.12802 146.56
  446 546 10 10.16 146.56
  447 547 10 12.192 146.56
  448 548 10 14.224 146.56
  449 549 10 16.256 146.56
  450 550 10 18.288 146.56
  451 551 10 20.3201 146.56
  452 552 10 22.3521 146.56
  453 553 10 24.3841 146.56
  454 554 10 26.4161 146.56
  455 555 10 28.4481 146.56
  456 556 10 30.4801 146.56
  457 557 10 32.5121 146.56
  458 558 10 34.5441 146.56
  459 559 10 36.5761 146.56
  460 560 10 38.6081 146.56
  461 561 10 0 148.592
  462 562 10 2.032 148.592
  463 563 10 4.06401 148.592
  464 564 10 6.09602 148.592
  465 565 10 8.12802 148.592
  466 566 10 10.16 148.592
  467 567 10 12.192 148.592
  468 568 10 14.224 148.592
  469 569 10 16.256 148.592
  470 570 10 18.288 148.592
  471 571 10 20.3201 148.592
  472 572 10 22.3521 148.592
  473 573 10 24.3841 148.592
  474 574 10 26.4161 148.592
  475 575 10 28.4481 148.592
  476 576 10 30.4801 148.592
  477 577 10 32.5121 148.592
  478 578 10 34.5441 148.592
  479 579 10 36.5761 148.592
  480 580 10 38.6081 148.592
  481 581 10 0 150.624
  482 582 10 2.032 150.624
  483 583 10 4.06401 150.624
  484 584 10 6.09602 150.624
  485 585 10 8.12802 150.624
  486 586 10 10.16 150.624
  487 587 10 12.192 150.624
  488 588 10 14.224 150.624
  489 589 10 16.256 150.624
  490 590 10 18.288 150.624
  491 591 10 20.3201 150.624
  492 592 10 22.3521 150.624
  493 593 10 24.3841 150.624
  494 594 10 26.4161 150.624
  495 595 10 28.4481 150.624
  496 596 10 30.4801 150.624
  497 597 10 32.5121 150.624
  498 598 10 34.5441 150.624
  499 599 10 36.5761 150.624
  500 600 10 38.6081 150.624
  501 601 10 0 152.656
  502 602 10 2.032 152.656
  503 603 10 4.06401 152.656
  504 604 10 6.09602 152.656
  505 605 10 8.12802 152.656
  506 606 10 10.16 152.656
  507 607 10 12.192 152.656
  508 608 10 14.224 152.656
  509 609 10 16.256 152.656
  510 610 10 18.288 152.656
  511 611 10 20.3201 152.656
  512 612 10 22.3521 152.656
  513 613 10 24.3841 152.656
  514 614 10 26.4161 152.656
  515 615 10 28.4481 152.656
  516 616 10 30.4801 152.656
  517 617 10 32.5121 152.656
  518 618 10 34.5441 152.656
  519 619 10 36.5761 152.656
  520 620 10 38.6081 152.656
  521 621 10 0 154.688
  522 622 10 2.032 154.688
  523 623 10 4.06401 154.688
  524 624 10 6.09602 154.688
  525 625 10 8.12802 154.688
  526 626 10 10.16 154.688
  527 627 10 12.192 154.688
  528 628 10 14.224 154.688
  529 629 10 16.256 154.688
  530 630 10 18.288 154.688
  531 631 10 20.3201 154.688
  532 632 10 22.3521 154.688
  533 633 10 24.3841 154.688
  534 634 10 26.4161 154.688
  535 635 10 28.4481 154.688
  536 636 10 30.4801 154.688
  537 637 10 32.5121 154.688
  538 638 10 34.5441 154.688
  539 639 10 36.5761 154.688
  540 640 10 38.6081 154.688
  541 641 10 0 156.72
  542 642 10 2.032 156.72
  543 643 10 4.06401 156.72
  544 644 10 6.09602 156.72
  545 645 10 8.12802 156.72
  546 646 10 10.16 156.72
  547 647 10 12.192 156.72
  548 648 10 14.224 156.72
  549 649 10 16.256 156.72
  550 650 10 18.288 156.72
  551 651 10 20.3201 156.72
  552 652 10 22.3521 156.72
  553 653 10 24.3841 156.72
  554 654 10 26.4161 156.72
  555 655 10 28.4481 156.72
  556 656 10 30.4801 156.72
  557 657 10 32.5121 156.72
  558 658 10 34.5441 156.72
  559 659 10 36.5761 156.72
  560 660 10 38.6081 156.72
  561 661 10 0 158.752
  562 662 10 2.032 158.752
  563 663 10 4.06401 158.752
  564 664 10 6.09602 158.752
  565 665 10 8.12802 158.752
  566 666 10 10.16 158.752
  567 667 10 12.192 158.752
  568 668 10 14.224 158.752
  569 669 10 16.256 158.752
